Lead ID,Location,College,Year of Study,Program Interest,Lead Source,Converted
LD1,Surat,PQR University,1st,Robotics,Whatsapp,0
LD2,Bangalore,PQR University,4th,Robotics,Mass-Mailing,1
LD3,Ahmedabad,ABC Institute,1st,Electric Vehicle,Mass-Mailing,1
LD4,Bangalore,ABC Institute,1st,Data Science,Mass-Mailing,0
LD5,Surat,XYZ University,3rd,Data Science,Google Form,0
LD6,Bangalore,ABC Institute,1st,Robotics,Mass-Mailing,0
LD7,Ahmedabad,LMN College,2nd,Data Science,Mass-Mailing,0
LD8,Surat,XYZ University,3rd,AI,Instagram,1
LD9,Mumbai,PQR University,2nd,Robotics,LinkedIn,0
LD10,Surat,LMN College,3rd,Data Science,Mass-Mailing,1
LD11,Mumbai,LMN College,4th,Electric Vehicle,Instagram,0
LD12,Surat,LMN College,1st,Robotics,Instagram,1
LD13,Bangalore,LMN College,2nd,Data Science,College Collaboration,1
LD14,Bangalore,XYZ University,1st,Robotics,Whatsapp,0
LD15,Mumbai,LMN College,4th,Robotics,College Collaboration,0
LD16,Mumbai,XYZ University,3rd,Data Science,Google Form,0
LD17,Ahmedabad,PQR University,2nd,Robotics,College Collaboration,0
LD18,Ahmedabad,ABC Institute,2nd,AI,College Collaboration,0
LD19,Ahmedabad,ABC Institute,1st,Data Science,College Collaboration,0
LD20,Surat,PQR University,2nd,AI,Mass-Mailing,0
LD21,Mumbai,LMN College,2nd,Robotics,Whatsapp,0
LD22,Surat,ABC Institute,2nd,AI,College Collaboration,0
LD23,Mumbai,LMN College,1st,Electric Vehicle,Google Form,0
LD24,Surat,LMN College,1st,Electric Vehicle,LinkedIn,0
LD25,Ahmedabad,ABC Institute,1st,Robotics,Google Form,0
LD26,Mumbai,PQR University,3rd,Data Science,Whatsapp,1
LD27,Ahmedabad,LMN College,4th,Robotics,Instagram,0
LD28,Ahmedabad,LMN College,3rd,Electric Vehicle,Instagram,0
LD29,Ahmedabad,XYZ University,2nd,Electric Vehicle,Instagram,0
LD30,Mumbai,LMN College,2nd,Electric Vehicle,Whatsapp,0
LD31,Surat,PQR University,2nd,Data Science,College Collaboration,0
LD32,Delhi,XYZ University,1st,Data Science,Instagram,0
LD33,Delhi,ABC Institute,4th,Electric Vehicle,College Collaboration,0
LD34,Ahmedabad,XYZ University,4th,Data Science,Whatsapp,1
LD35,Delhi,PQR University,1st,AI,Mass-Mailing,1
LD36,Ahmedabad,XYZ University,4th,AI,Instagram,1
LD37,Surat,XYZ University,1st,AI,Instagram,0
LD38,Surat,ABC Institute,4th,AI,LinkedIn,0
LD39,Ahmedabad,PQR University,1st,AI,Google Form,0
LD40,Delhi,PQR University,3rd,AI,Mass-Mailing,0
LD41,Delhi,LMN College,3rd,Data Science,Whatsapp,0
LD42,Mumbai,XYZ University,4th,Robotics,Google Form,0
LD43,Bangalore,PQR University,4th,Robotics,Instagram,0
LD44,Surat,XYZ University,4th,AI,College Collaboration,1
LD45,Bangalore,PQR University,2nd,Electric Vehicle,Google Form,0
LD46,Mumbai,XYZ University,4th,Robotics,LinkedIn,0
LD47,Mumbai,LMN College,4th,Data Science,LinkedIn,0
LD48,Surat,LMN College,4th,Robotics,Google Form,0
LD49,Bangalore,LMN College,2nd,Robotics,Google Form,0
LD50,Bangalore,PQR University,4th,Electric Vehicle,Whatsapp,0
LD51,Mumbai,ABC Institute,2nd,Data Science,Instagram,1
LD52,Surat,ABC Institute,4th,Robotics,College Collaboration,1
LD53,Bangalore,LMN College,4th,Electric Vehicle,Instagram,1
LD54,Mumbai,ABC Institute,2nd,Electric Vehicle,College Collaboration,1
LD55,Delhi,ABC Institute,2nd,AI,Mass-Mailing,0
LD56,Bangalore,XYZ University,4th,Electric Vehicle,Whatsapp,1
LD57,Mumbai,PQR University,2nd,Electric Vehicle,LinkedIn,0
LD58,Ahmedabad,ABC Institute,4th,Electric Vehicle,College Collaboration,0
LD59,Ahmedabad,ABC Institute,3rd,Electric Vehicle,LinkedIn,0
LD60,Surat,LMN College,2nd,Data Science,Mass-Mailing,0
LD61,Ahmedabad,PQR University,3rd,AI,Instagram,0
LD62,Delhi,ABC Institute,4th,Data Science,Google Form,0
LD63,Surat,XYZ University,3rd,Robotics,LinkedIn,1
LD64,Bangalore,XYZ University,2nd,AI,Mass-Mailing,0
LD65,Delhi,LMN College,4th,Electric Vehicle,LinkedIn,0
LD66,Surat,ABC Institute,2nd,Electric Vehicle,Whatsapp,0
LD67,Delhi,LMN College,2nd,AI,Whatsapp,0
LD68,Delhi,LMN College,3rd,Electric Vehicle,Whatsapp,1
LD69,Delhi,PQR University,4th,Data Science,LinkedIn,0
LD70,Bangalore,PQR University,2nd,AI,LinkedIn,1
LD71,Surat,LMN College,3rd,Electric Vehicle,College Collaboration,1
LD72,Delhi,XYZ University,3rd,Robotics,College Collaboration,0
LD73,Mumbai,LMN College,2nd,Data Science,Mass-Mailing,0
LD74,Bangalore,XYZ University,4th,Electric Vehicle,Mass-Mailing,1
LD75,Delhi,LMN College,3rd,AI,Google Form,1
LD76,Mumbai,LMN College,2nd,AI,Mass-Mailing,1
LD77,Delhi,PQR University,1st,Electric Vehicle,Whatsapp,1
LD78,Mumbai,ABC Institute,1st,Data Science,Google Form,0
LD79,Delhi,PQR University,3rd,Robotics,Whatsapp,0
LD80,Ahmedabad,XYZ University,1st,Electric Vehicle,LinkedIn,0
LD81,Mumbai,XYZ University,2nd,Electric Vehicle,College Collaboration,1
LD82,Bangalore,PQR University,2nd,Robotics,Mass-Mailing,0
LD83,Bangalore,ABC Institute,1st,AI,Instagram,0
LD84,Surat,ABC Institute,1st,Robotics,Mass-Mailing,0
LD85,Bangalore,PQR University,4th,Robotics,Instagram,0
LD86,Mumbai,PQR University,4th,Electric Vehicle,Instagram,0
LD87,Ahmedabad,PQR University,1st,Electric Vehicle,Instagram,1
LD88,Surat,XYZ University,3rd,Electric Vehicle,Mass-Mailing,0
LD89,Delhi,XYZ University,3rd,AI,Instagram,1
LD90,Mumbai,XYZ University,1st,AI,Whatsapp,0
LD91,Surat,LMN College,1st,AI,Whatsapp,0
LD92,Bangalore,XYZ University,2nd,AI,Instagram,1
LD93,Bangalore,XYZ University,2nd,Data Science,Instagram,1
LD94,Ahmedabad,LMN College,4th,Electric Vehicle,Mass-Mailing,0
LD95,Delhi,XYZ University,2nd,Electric Vehicle,Whatsapp,1
LD96,Ahmedabad,XYZ University,4th,Data Science,LinkedIn,0
LD97,Bangalore,XYZ University,2nd,Data Science,Whatsapp,0
LD98,Ahmedabad,PQR University,2nd,Robotics,College Collaboration,0
LD99,Mumbai,LMN College,3rd,Robotics,Whatsapp,0
LD100,Surat,LMN College,1st,AI,Instagram,0
LD101,Mumbai,ABC Institute,4th,Electric Vehicle,College Collaboration,0
LD102,Delhi,LMN College,2nd,Robotics,Whatsapp,0
LD103,Surat,XYZ University,3rd,Data Science,Whatsapp,0
LD104,Mumbai,XYZ University,3rd,Data Science,Mass-Mailing,0
